,Symbol,Name,Last Price,Market Time,Change,% Change,Volume,Market Cap
0,AMZN,"Amazon.com, Inc.","2,891.93",4:00PM EDT,+128.59,+4.65%,5.866M,1.471T
1,AAPL,Apple Inc.,163.64,4:00PM EDT,+7.07,+4.52%,130.217M,2.671T
2,INTC,Intel Corporation,46.84,4:00PM EDT,+1.62,+3.58%,41.097M,191.515B
3,HOOD,"Robinhood Markets, Inc.",10.09,4:00PM EDT,+0.58,+6.10%,26.97M,8.432B
4,ROKU,"Roku, Inc.",91.63,4:00PM EDT,+6.87,+8.11%,13.081M,12.459B
5,DWAC,Digital World Acquisition Corp.,48.06,4:00PM EDT,+3.51,+7.88%,3.926M,1.638B
6,RIVN,"Rivian Automotive, Inc.",32.18,4:00PM EDT,+0.96,+3.07%,17.179M,28.428B
7,GILD,"Gilead Sciences, Inc.",61.56,4:00PM EDT,-0.03,-0.05%,10.778M,77.306B
8,X,United States Steel Corporation,32.23,4:00PM EDT,+0.41,+1.29%,12.069M,8.397B
9,SU.TO,Suncor Energy Inc.,47.22,4:00PM EDT,+5.07,+12.03%,24.936M,67.592B
10,WDC,Western Digital Corporation,52.61,4:00PM EDT,+2.56,+5.11%,5.801M,16.463B
11,TEAM,Atlassian Corporation Plc,259.98,4:00PM EDT,+16.32,+6.70%,3.215M,61.764B
12,ALLG,Allego N.V.,12.38,4:00PM EDT,+3.86,+45.31%,3.085M,3.285B
13,PHUN,"Phunware, Inc.",2.0800,4:00PM EDT,-0.0600,-2.80%,2.81M,202.281M
14,IDAI,T Stamp Inc.,4.7000,4:00PM EDT,+2.6000,+123.81%,55.417M,110.591M
15,SU,Suncor Energy Inc.,36.89,4:05PM EDT,+4.01,+12.20%,19.721M,52.855B
16,MRK,"Merck & Co., Inc.",88.58,4:02PM EDT,+4.17,+4.94%,20.744M,223.961B
17,APE3-USD,ApeCoin USD,23.41,1:29AM UTC,+4.03,+20.81%,4.73B,6.669B
18,FSLR,"First Solar, Inc.",72.26,4:00PM EDT,+0.12,+0.17%,1.57M,7.702B
19,KLAC,KLA Corporation,332.76,4:00PM EDT,+17.98,+5.71%,1.834M,50.152B
20,XOM,Exxon Mobil Corporation,87.20,4:02PM EDT,+2.56,+3.02%,32.034M,368.478B
21,ZYME,Zymeworks Inc.,4.9600,4:00PM EDT,+0.1000,+2.06%,"592,462",286.372M
22,BC,Brunswick Corporation,76.36,4:00PM EDT,+1.83,+2.46%,1.095M,5.85B
23,SQQQ,ProShares UltraPro Short QQQ,43.35,4:00PM EDT,-5.11,-10.54%,143.094M,N/A
24,DXCM,"DexCom, Inc.",413.23,4:00PM EDT,+0.21,+0.05%,1.151M,40.549B
25,CVX,Chevron Corporation,161.79,4:03PM EDT,+5.55,+3.55%,9.16M,317.895B
26,ACHR,Archer Aviation Inc.,4.6300,4:00PM EDT,+0.9300,+25.14%,6.389M,1.088B
27,MARK,"Remark Holdings, Inc.",0.5754,4:00PM EDT,+0.0060,+1.05%,1.279M,60.508M
28,ENZC,Enzolytics Inc.,0.0987,3:59PM EDT,+0.0259,+35.69%,34.928M,240.575M
29,SWVL,Swvl Holdings Corp.,10.09,4:00PM EDT,+3.37,+50.15%,28.039M,1.2B
